"","Date","US.Institutional","X","US.Individual"
"","Index Value","Standard Error","Index Value","Standard Error"
"05/2013","77.14","3.55","68.67","3.60"
"04/2013","75.37","3.72","71.79","3.60"
"03/2013","74.03","3.53","71.02","3.42"
"02/2013","74.19","3.51","70.95","3.39"
"01/2013","77.11","3.26","70.59","3.49"
"12/2012","75.00","3.38","75.15","3.36"
"11/2012","76.22","3.32","76.82","3.43"
"10/2012","79.44","3.01","78.29","3.34"
"09/2012","82.26","2.80","79.88","3.13"
"08/2012","82.38","2.74","78.53","3.09"
"07/2012","81.82","2.67","79.68","2.94"
"06/2012","83.26","2.55","79.71","2.80"
"05/2012","82.72","2.43","78.82","2.56"
"04/2012","81.55","2.70","78.72","2.67"
"03/2012","79.80","2.85","78.60","2.63"
"02/2012","78.97","2.79","77.54","2.72"
"01/2012","80.09","2.75","75.66","2.85"
"12/2011","77.20","3.02","73.60","3.14"
"11/2011","76.79","3.26","75.90","3.32"
"10/2011","76.84","3.17","75.45","3.33"
"09/2011","77.89","3.01","73.17","3.46"
"08/2011","80.89","2.62","74.59","3.24"
"07/2011","80.57","2.35","78.40","2.60"
"06/2011","81.75","2.38","79.13","2.68"
"05/2011","81.62","2.53","77.27","2.98"
"04/2011","82.88","2.35","76.11","2.84"
"03/2011","81.43","2.32","79.08","2.63"
"02/2011","80.58","2.76","80.95","2.86"
"01/2011","78.47","3.43","78.52","3.53"
"12/2010","77.50","3.30","77.46","3.18"
"11/2010","76.47","3.25","76.00","3.02"
"10/2010","72.86","3.76","77.53","3.13"
"09/2010","73.68","4.52","76.77","3.39"
"08/2010","75.00","3.95","76.57","3.20"
"07/2010","75.44","4.03","76.22","3.32"
"06/2010","76.67","3.86","77.84","3.21"
"05/2010","76.92","3.70","78.79","3.18"
"04/2010","77.92","3.34","76.63","3.12"
"03/2010","77.36","3.32","76.59","2.96"
"02/2010","77.09","3.14","77.58","2.79"
"01/2010","75.00","3.30","79.13","2.68"
"12/2009","75.14","3.18","79.05","2.81"
"11/2009","76.60","2.76","78.08","2.57"
"10/2009","76.36","2.86","79.59","2.57"
"09/2009","76.14","3.04","79.38","2.90"
"08/2009","75.32","3.43","76.63","3.12"
"07/2009","79.52","3.13","72.84","3.49"
"06/2009","79.52","3.13","73.94","3.20"
"05/2009","80.34","3.67","75.00","3.61"
"04/2009","80.95","3.03","72.16","3.38"
"03/2009","81.62","2.53","74.17","2.83"
"02/2009","81.40","2.50","75.24","2.98"
"01/2009","81.61","2.40","75.45","2.90"
"12/2008","81.25","2.37","73.18","2.99"
"11/2008","80.66","2.26","72.98","2.82"
"10/2008","81.59","2.33","75.82","2.74"
"09/2008","80.74","2.52","74.24","3.11"
"08/2008","80.45","2.43","74.49","2.77"
"07/2008","79.28","2.56","75.18","2.59"
"06/2008","80.42","2.35","72.12","2.47"
"05/2008","82.03","2.24","71.92","2.52"
"04/2008","81.29","2.34","70.75","2.55"
"03/2008","79.74","2.28","72.47","2.24"
"02/2008","79.55","2.30","72.18","2.35"
"01/2008","80.37","2.20","72.33","2.40"
"12/2007","79.87","2.30","76.58","2.38"
"11/2007","77.58","2.49","78.07","2.38"
"10/2007","76.95","2.51","79.41","2.45"
"09/2007","78.22","2.75","77.46","2.86"
"08/2007","79.41","2.83","78.30","2.83"
"07/2007","76.92","3.37","79.27","2.92"
"06/2007","76.99","3.96","80.00","3.38"
"05/2007","78.16","4.43","80.15","3.42"
"04/2007","81.18","4.24","80.00","3.38"
"03/2007","80.00","4.34","85.95","3.16"
"02/2007","75.58","4.63","86.36","2.99"
"01/2007","74.51","4.32","85.38","3.10"
"12/2006","75.00","4.09","83.89","3.01"
"11/2006","75.21","3.99","85.29","3.04"
"10/2006","73.74","4.42","85.22","3.31"
"09/2006","74.73","4.56","83.50","3.66"
"08/2006","81.11","4.13","82.35","3.77"
"07/2006","87.18","3.79","82.52","3.74"
"06/2006","88.89","3.96","87.50","3.53"
"05/2006","92.59","3.56","83.33","3.80"
"04/2006","92.00","3.13","83.93","3.47"
"03/2006","87.78","3.45","84.13","3.26"
"02/2006","83.91","3.94","83.93","3.47"
"01/2006","78.57","4.14","82.73","3.60"
"12/2005","77.14","4.10","81.98","3.65"
"11/2005","74.36","4.04","82.73","3.60"
"10/2005","72.57","4.20","80.51","3.65"
"09/2005","74.60","3.88","80.49","3.57"
"08/2005","75.00","3.66","81.82","3.23"
"07/2005","75.57","3.75","84.25","3.01"
"06/2005","76.86","3.83","84.25","3.01"
"05/2005","81.82","3.68","85.52","2.92"
"04/2005","79.49","3.73","86.27","2.78"
"03/2005","79.21","4.04","87.84","2.69"
"02/2005","81.48","4.32","87.70","2.97"
"01/2005","82.19","4.48","87.80","2.95"
"12/2004","75.56","4.53","88.62","2.86"
"11/2004","72.09","4.84","87.20","2.99"
"10/2004","72.94","4.82","87.18","3.09"
"09/2004","71.11","4.78","85.83","3.18"
"08/2004","72.90","4.30","84.87","2.91"
"07/2004","74.34","4.11","83.87","2.95"
"06/2004","77.57","4.03","84.47","2.85"
"05/2004","77.45","4.14","85.42","2.94"
"04/2004","81.11","4.13","87.32","2.79"
"03/2004","88.04","3.38","89.29","2.61"
"02/2004","87.91","3.42","93.38","2.13"
"01/2004","90.10","2.97","95.62","1.75"
"12/2003","92.52","2.54","95.28","1.88"
"11/2003","91.74","2.64","93.18","2.19"
"10/2003","90.83","2.63","92.99","2.04"
"09/2003","89.19","2.95","93.06","2.12"
"08/2003","88.06","2.80","90.57","2.32"
"07/2003","87.50","3.02","88.89","2.54"
"06/2003","86.92","3.26","89.39","2.30"
"05/2003","88.29","3.05","90.86","2.11"
"04/2003","85.71","3.31","91.03","2.29"
"03/2003","84.35","3.39","89.62","2.25"
"02/2003","86.21","3.70","90.85","2.25"
"01/2003","82.80","3.91","90.48","2.26"
"12/2002","80.23","4.29","88.51","2.62"
"11/2002","80.25","4.42","86.47","2.97"
"10/2002","80.25","4.42","85.50","3.08"
"09/2002","81.48","4.32","84.48","3.36"
"08/2002","80.77","4.46","85.04","3.17"
"07/2002","84.15","4.03","87.50","2.76"
"06/2002","84.21","3.74","88.39","2.57"
"05/2002","83.18","3.62","89.33","2.31"
"04/2002","80.00","3.73","88.78","2.20"
"03/2002","81.67","3.53","90.59","2.05"
"02/2002","80.00","3.81","89.08","2.36"
"01/2002","78.95","4.18","88.49","2.71"
